level,color,points,crowns,ability,is_double,cost_w,cost_bl,cost_g,cost_r,cost_bk,cost_p
1,wild,,3,,,,,,,8,
1,none,6,,,,8,,,,,
1,blue,3,2,,,3,,3,,5,1
1,black,3,2,,,3,,5,3,,1
1,black,4,,,,2,,,2,6,
1,green,4,,,,,2,6,2,,
1,white,4,,,,6,2,,,2,
1,wild,3,,again,,,,,8,,
1,red,3,2,,,,5,3,,3,1
1,green,3,2,,,5,3,,3,,1
1,white,3,2,,,,3,,5,3,1
1,red,4,,,,,,2,6,2,
1,blue,4,,,,2,6,2,,,
2,green,1,,steal,,3,,,4,,
2,blue,2,,scroll,,2,4,,,,1
2,green,2,1,,,2,2,,,2,1
2,green,1,,,yes,,,,5,2,
2,white,1,,,yes,,5,2,,,
2,red,1,,,yes,2,,,,5,
2,black,2,,scroll,,,,,2,4,1
2,red,1,,,,2,2,2,,,1
2,red,2,,scroll,,,,2,4,,1
2,wild,2,,,,,,6,,,1
2,white,1,,steal,,,4,,3,,
2,wild,,2,,,,,6,,,1
2,wild,,2,,,,6,,,,1
2,white,2,1,,,,,2,2,2,1
2,black,2,1,,,,2,2,2,,1
2,blue,2,1,,,2,,,2,2,1
2,red,1,,steal,,,3,,,4,
2,white,2,,scroll,,4,,,,2,1
2,green,2,,scroll,,,2,4,,,1
2,blue,1,,steal,,,,4,,3,
2,black,1,,steal,,4,,3,,,
2,none,5,,,,,6,,,,1
2,black,1,,,yes,5,2,,,,
2,blue,1,,,yes,,,5,2,,
3,black,,,,,1,1,1,1,,
3,blue,,,token,,2,,,,2,
3,red,,,token,,,2,2,,,
3,black,1,,,,3,,,,,
3,black,1,,,,,2,2,,,
3,black,,,token,,,,2,2,,
3,white,,,token,,,,,2,2,
3,black,,,again,,2,2,,,,1
3,green,,1,,,,,,3,,
3,white,,,again,,,2,2,,,1
3,wild,1,,,,,2,,2,1,1
3,green,,,again,,,,,2,2,1
3,red,,,again,,2,,,,2,1
3,none,3,,,,,,,4,,1
3,green,1,,,,3,,,,2,
3,blue,,,,,1,,1,1,1,
3,blue,,,again,,,,2,2,,1
3,wild,1,,,,2,,2,,1,1
3,green,,,,,1,1,,1,1,
3,white,,1,,,,3,,,,
3,red,,,,,1,1,1,,1,
3,red,,,,,2,3,,,,
3,blue,1,,,,,,,2,3,
3,blue,,1,,,,,3,,,
3,wild,1,,,,,4,,,,1
3,green,,,token,,2,2,,,,
3,white,,,,,,1,1,1,1,
3,red,,1,,,,,,,3,
3,wild,,1,,,4,,,,,1
3,white,1,,,,,,2,3,,